icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,timestamp_ingest
e49405,GLO1247,Brazil,1750870761,1750871584,-49.9403,-27.2195,8839.2,false,231.24,31.07,2025-06-25T17:13:11.206849+00:00Z
e49444,AZU2595,Brazil,1750871584,1750871584,-47.5867,-24.4983,9136.38,false,194.16,194.74,2025-06-25T17:13:11.216835+00:00Z
e49445,AZU6076,Brazil,1750871580,1750871582,-46.3131,-22.5904,5311.14,false,188.73,203.28,2025-06-25T17:13:11.216981+00:00Z
e48043,TAM4671,Brazil,1750871509,1750871511,-46.5272,-23.4497,914.4,false,68.05,73.76,2025-06-25T17:13:11.217538+00:00Z
e4805d,TAM3302,Brazil,1750871400,1750871400,-47.9841,-26.1502,9113.52,false,240.94,190.83,2025-06-25T17:13:11.217739+00:00Z
e4931d,PROTV,Brazil,1750871584,1750871584,-47.1441,-23.0771,4495.8,false,160.42,168.91,2025-06-25T17:13:11.217885+00:00Z
e49306,PRCBJ,Brazil,1750871583,1750871584,-48.0376,-23.0169,4221.48,false,140.14,117.79,2025-06-25T17:13:11.217956+00:00Z
e491a3,TAM3922,Brazil,1750871581,1750871581,-46.6602,-23.6228,null,true,5.66,326.25,2025-06-25T17:13:11.218200+00:00Z
e491a9,AZU4392,Brazil,1750871584,1750871584,-47.7697,-22.9346,3855.72,false,100.84,323.71,2025-06-25T17:13:11.218373+00:00Z
e490b1,AZU4063,Brazil,1750871584,1750871584,-48.9211,-22.8954,9753.6,false,192.37,286.79,2025-06-25T17:13:11.218925+00:00Z
e4910c,AZU4830,Brazil,1750871372,1750871376,-48.3194,-25.0332,6370.32,false,187.82,223.0,2025-06-25T17:13:11.219002+00:00Z
e4988d,GLO9011,Brazil,1750871584,1750871584,-43.3059,-22.7845,220.98,false,75.53,125.86,2025-06-25T17:13:11.219584+00:00Z
e49890,GLO1572,Brazil,1750871584,1750871584,-46.5301,-23.7028,2080.26,false,142.9,117.67,2025-06-25T17:13:11.219673+00:00Z
e4851a,null,Brazil,1750871584,1750871584,-43.3441,-23.1425,4671.06,false,174.85,243.06,2025-06-25T17:13:11.219915+00:00Z
e4851b,TAM3929,Brazil,1750871551,1750871555,-45.4355,-23.8038,7818.12,false,190.15,256.23,2025-06-25T17:13:11.219982+00:00Z
e483dd,TAM3824,Brazil,1750871584,1750871584,-46.2019,-23.6593,4648.2,false,183.42,38.51,2025-06-25T17:13:11.220050+00:00Z
e495d8,AZU2784,Brazil,1750871584,1750871584,-47.2193,-23.2227,2743.2,false,139.97,213.46,2025-06-25T17:13:11.222421+00:00Z
e482c5,TAM3419,Brazil,1750871353,1750871381,-46.5472,-23.4551,944.88,false,78.3,73.59,2025-06-25T17:13:11.222579+00:00Z
e495db,null,Brazil,1750871578,1750871578,-48.4283,-25.2877,8397.24,false,211.99,67.6,2025-06-25T17:13:11.222653+00:00Z
e4835d,PRSMK,Brazil,1750871582,1750871583,-46.6855,-23.5159,967.74,false,72.09,357.55,2025-06-25T17:13:11.222956+00:00Z
e49697,TAM8034,Brazil,1750871584,1750871584,-46.4169,-23.5874,3954.78,false,163.27,257.63,2025-06-25T17:13:11.223031+00:00Z
e48274,TAM4673,Brazil,1750871304,1750871304,-43.7564,-22.7317,6118.86,false,198.87,266.89,2025-06-25T17:13:11.223586+00:00Z
e49591,AZU4518,Brazil,1750871579,1750871584,-46.808,-22.6031,4434.84,false,203.82,217.1,2025-06-25T17:13:11.223671+00:00Z
e49508,PPFTS,Brazil,1750871584,1750871584,-47.7165,-23.7514,4861.56,false,168.04,21.93,2025-06-25T17:13:11.223889+00:00Z
e49511,GLO1413,Brazil,1750871363,1750871375,-46.6534,-23.6311,731.52,true,29.32,149.06,2025-06-25T17:13:11.223962+00:00Z
e4956f,GLO1552,Brazil,1750871534,1750871534,-45.8309,-23.4932,7520.94,false,215.59,70.48,2025-06-25T17:13:11.224033+00:00Z
e4953d,TAM3366,Brazil,1750871356,1750871357,-45.6878,-23.4217,6621.78,false,191.09,78.51,2025-06-25T17:13:11.224104+00:00Z
347206,IBE0105,Spain,1750871584,1750871584,-53.9399,-23.3526,11582.4,false,236.48,192.95,2025-06-25T17:13:11.224874+00:00Z
e47ed1,GLO1603,Brazil,1750871584,1750871584,-46.6204,-23.2609,2529.84,false,121.3,204.83,2025-06-25T17:13:11.224946+00:00Z
34604e,IBE0102,Spain,1750871584,1750871584,-51.8472,-30.6139,10668.0,false,281.28,49.38,2025-06-25T17:13:11.225028+00:00Z
347343,IBE0118,Spain,1750871584,1750871584,-56.6278,-24.5007,10668.0,false,283.87,43.24,2025-06-25T17:13:11.225111+00:00Z
ae68af,,United States,1750871583,1750871584,-43.053,-22.9564,2331.72,false,139.8,218.73,2025-06-25T17:13:11.225253+00:00Z
4cad46,ITY681,Ireland,1750871584,1750871584,-50.701,-29.681,11277.6,false,283.46,37.18,2025-06-25T17:13:11.225411+00:00Z
3482d5,AEA058,Spain,1750871572,1750871572,-45.9461,-22.8456,4739.64,false,171.24,34.6,2025-06-25T17:13:11.225495+00:00Z
e48bf8,AZU2676,Brazil,1750871792,1750871799,-49.3281,-23.3186,5486.4,false,121.24,263.18,2025-06-25T17:18:13.604348+00:00Z
e0b20f,FBZ5151,Argentina,1750871879,1750871879,-58.6714,-33.5032,7147.56,false,215.56,185.62,2025-06-25T17:18:13.604456+00:00Z
e49ef3,GLO1587,Brazil,1750871880,1750871880,-49.7088,-28.2924,8839.2,false,222.34,57.38,2025-06-25T17:18:13.604698+00:00Z
e49eca,AZU2624,Brazil,1750871590,1750871590,-50.939,-29.3645,4693.92,false,195.1,217.72,2025-06-25T17:18:13.604794+00:00Z
e0b285,FBZ5100,Argentina,1750871879,1750871879,-58.6048,-32.9838,8519.16,false,188.58,197.3,2025-06-25T17:18:13.604872+00:00Z
e48c4d,TAM3121,Brazil,1750871831,1750871852,-46.6711,-23.6056,746.76,false,74.22,147.74,2025-06-25T17:18:13.605116+00:00Z
e48c04,GLO1027,Brazil,1750871879,1750871880,-46.7212,-23.5321,1348.74,false,100.14,149.09,2025-06-25T17:18:13.605195+00:00Z
e49f43,AZU2623,Brazil,1750871880,1750871880,-50.4421,-28.0265,11277.6,false,245.94,29.03,2025-06-25T17:18:13.605279+00:00Z
e49f13,PSRCL,Brazil,1750871829,1750871834,-48.4133,-24.0565,8534.4,false,133.46,201.72,2025-06-25T17:18:13.605428+00:00Z
e49f18,PPBBT,Brazil,1750871879,1750871880,-46.4639,-22.8474,8534.4,false,128.76,203.8,2025-06-25T17:18:13.605501+00:00Z
e49f48,PSGXA,Brazil,1750871879,1750871879,-48.3401,-22.6804,8839.2,false,111.46,312.01,2025-06-25T17:18:13.605739+00:00Z
e0b198,JES3790,Argentina,1750871876,1750871876,-58.2123,-30.086,11277.6,false,205.01,9.53,2025-06-25T17:18:13.606039+00:00Z
e48b65,TAM3822,Brazil,1750871879,1750871879,-47.1351,-23.909,7879.08,false,203.51,237.6,2025-06-25T17:18:13.606114+00:00Z
e49e56,PSGMD,Brazil,1750871880,1750871880,-46.5567,-23.6631,975.36,false,73.08,144.74,2025-06-25T17:18:13.606304+00:00Z
e49e67,PTEHJ,Brazil,1750871880,1750871880,-47.6777,-22.6508,1859.28,false,75.63,270.39,2025-06-25T17:18:13.606378+00:00Z
e49d98,PTOUF,Brazil,1750871880,1750871880,-48.1524,-22.7487,6469.38,false,90.2,295.69,2025-06-25T17:18:13.606699+00:00Z
e49d24,AZU6006,Brazil,1750871782,1750871787,-50.9807,-29.344,5074.92,false,165.9,228.9,2025-06-25T17:18:13.606916+00:00Z
e49c5a,TAM3017,Brazil,1750871719,1750871739,-46.6548,-23.6312,731.52,true,7.72,329.06,2025-06-25T17:18:13.607532+00:00Z
